rank,system_rank,cns_name,component,n_objects,lhs,ra_2000,dec_2000,proper_motion_arcsec_yr,proper_motion_angle_deg,parallax_arcsec,parallax_error,spectral_type,V_mag,Mv_mag,mass_msun,notes,common_name,distance_ly
88,88,GJ 896,A,2,3965,23 31 52.2,+19 56 14,0.558,096.4,0.15988,0.00153,M3.5 V,10.27,11.29,0.33,,EQ Pegasi,20.39
88,88,GJ 896,B,,3966,23 31 52.2,+19 56 14,0.558,096.4,0.15988,0.00153,M4.5 V,12.21,13.43,0.16,orbit 7",,20.39
89,89,GJ 581,,1+4P,394,15 19 26.8,-07 43 20,1.229,265.4,0.15780,0.00176,M3.0 V,10.57,11.56,0.30,,Wolf 562,20.66
90,90,LHS 2090,,1,2090,09 00 23.6,+21 50 05,0.774,221.2,0.15687,0.00267,M6.0 V,16.10,17.08,0.09,,,20.78
91,91,LHS 337,,1,337,12 38 49.1,-38 22 54,1.464,206.4,0.15678,0.00199,M4.0 V,12.75,13.73,0.15,,,20.79
92,92,GJ 661,A,2,433,17 12 07.9,+45 39 57,1.625,168.4,0.15632,0.00128,M3.0 VJ,9.93,10.90,0.39,,,20.86
92,92,GJ 661,B,,434,17 12 07.9,+45 39 57,1.625,168.4,0.15632,0.00128,M V,10.35,11.32,0.33,orbit < 2",,20.86
93,93,GJ 223.2,,1,32,05 55 09.7,-04 10 17,2.377,166.6,0.15605,0.00075,DZ9,14.47,15.44,0.50,*,WD 0552-041,20.90
94,94,G 180-060,,1,,16 31 18.4,+40 51 54,0.358,330.0,0.15600,0.00400,M5.0 V,14.76,15.73,0.10,,,20.90
95,95,GJ 644,A,5,428,16 55 28.8,-08 20 11,1.208,223.3,0.15496,0.00052,M2.5 VJ,9.72,10.67,0.42,,Wolf 630 A,21.04
95,95,GJ 644,B,,,16 55 28.8,-08 20 11,1.208,223.3,0.15496,0.00052,M V,10.37,11.32,0.33,orbit < 2",Wolf 630 B,21.04
95,95,GJ 644,D,,,16 55 28.8,-08 20 11,1.208,223.3,0.15496,0.00052,M V,10.87,11.82,0.27,orbit < 2",Wolf 630 C,21.04
95,95,GJ 644,C,,429,16 55 35.8,-08 23 40,1.190,222.5,0.15496,0.00052,M7.0 V,16.78,17.73,0.08,separation 221",van Biesbroeck 8,21.04
95,95,GJ 643,,,427,16 55 25.2,-08 19 21,1.210,222.3,0.15496,0.00052,M3.0 V,11.80,12.75,0.18,separation 72",Wolf 629,21.04
96,96,GJ 625,,1,,16 25 24.6,+54 18 15,0.465,111.5,0.15314,0.00092,M1.5 V,10.10,11.03,0.37,,,21.29
97,97,GJ 1128,,1,271,09 42 46.4,-68 53 06,1.121,356.7,0.15305,0.00241,M4.0 V,12.74,13.66,0.15,,,21.30
98,98,GJ 1156,,1,324,12 19 00.3,+11 07 31,1.301,279.1,0.15290,0.00300,M4.5 V,13.80,14.72,0.12,,GL Virginis,21.32
99,99,GJ 892,,1,71,23 13 17.0,+57 10 06,2.095,081.9,0.15284,0.00028,K3.0 V,5.57,6.49,0.81,,,21.33
100,100,LHS 3003,,1,3003,14 56 38.5,-28 09 51,0.965,210.1,0.15249,0.00202,M7.0 V,17.05,17.97,0.08,,,21.38
